,Nombre del producto,Precio del producto,Sabor del producto
0,GALLETITA CREAM INTEGRAL RENATA 200GR,4.550,OTROS
1,GALLETITAS DE CHOCOLATE OCEANIX CUETARA 160GR,10.500,CHOCOLATE
2,GALLETITA DE CHOCOLATE CON CHIPS OCEANIX CUETARA 140GR,11.900,CHOCOLATE
3,GALLETITA INTEGRAL DIET DE COCO EL GERMANO 130GR,8.700,COCO
4,GALLETITA INTEGRAL DIET DE CHOCOLATE EL GERMANO 130GR,8.700,CHOCOLATE
5,GALLETITA INTEGRAL DIET CON CANELA EL GERMANO 130GR,8.700,CANELA
6,GALLETITA INTEGRAL DIET CON AVENA EL GERMANO 130GR,8.500,AVENA
7,GALLETITA INTEGRAL DIET CON SESAMO EL GERMANO 130GR,7.600,SESAMO
8,GALLETITAS CON CANELA CUETARA 213GR,4.800,CANELA
9,GALLETITAS DE VAINILLA DULCITAS CAPRI 180gr,2.500,VAINILLA
10,PACK GALLETITA TUAREG COSTA 3UNID + CARTUCHERA DE REGALO,19.350,REGALO
11,GALLETITA DE VAINILLA DULCITAS CAPRI 360gr,4.500,VAINILLA
12,GALLETITAS SABOR LIMON BOCADITOS CUETARA 150GR,10.500,LIMON
13,GALLETITA DE VAINILLA DULCITAS CAPRI 80gr,1.300,VAINILLA
14,PACK GALLETITA FRAC COSTA 3UNID + CARTUCHERA DE REGALO,20.550,REGALO
15,GALLETITA CON AVENA Y CANELA SIN AZUCARES MAZZEI 105GR,9.500,AVENA
16,GALLETITA DE COCO DULCITAS CAPRI 80gr,1.300,COCO
17,GALLETITA CON AVENA Y MIEL RENATA 140GR,4.150,AVENA
18,GALLETITA DE COCO DULCITAS CAPRI 360gr,4.500,COCO
19,GALLETITAS CON CHOCOLATE PEPITOS ORIG 119GR,5.000,CHOCOLATE
20,GALLETITA OPERA BAGLEY 92GR,4.200,OTROS
21,GALLETITA SABOR COCO SIN AZUCARES MAZZEI 150GR,8.000,COCO
22,GALLETITA SABOR LIMON SIN AZUCARES MAZZEI 150GR,8.000,LIMON
23,GALLETITA MINI CRACKERS CASERAS MAZZEI 180GR,3.800,OTROS
24,GALLETITA SALVADO CON SESAMO CRACKERS 230GR,6.400,SESAMO
25,GALLETITA DE ARROZ CON GLASE DE LEMON PIE Y YOGUR B-LIGHT 2UNID,1.900,ARROZ
26,GALLETITAS CON SEMILLA SABOR CHOCOLATE MAIZENA 180GR,12.700,SEMILLA
27,GALLETITAS MIX DE SEMILLAS MAIZENA 180GR,12.700,SEMILLAS
28,PACK 3 GALLETITAS DE CHOCOLATE BONO,12.850,CHOCOLATE
29,GALLETITA SABOR VAINILLA PORTEÑITAS 139GR,5.200,VAINILLA
30,GALLETITA DE MAIZENA TOSTINES NESTLE 200gr,5.500,MAIZENA
31,GALLETITA CRACKERS SIN SAL GRANIX 140GR,3.250,OTROS
32,GALLETITA DE CHOCOLATE CON VAINILLA  AVENTURA BLACK 120GR,3.900,CHOCOLATE
33,GALLETITA INTEGRAL CON CHIA DE QUINOA LEV MARILAN 170GR,6.400,CHIA
34,GALLETITA MINI CRACKERS 8 SEMILLAS MAZZEI 180GR,4.800,OTROS
35,GALLETITA INTEGRAL CON SESAMO LEV MARILAN 170GR,6.400,SESAMO
36,GALLETITA NIKITO CHOCOLATE 62 GR,2.050,OTROS
37,GALLETITA SALVADO,46.200,OTROS
38,GALLETITA RUMBA ORIGINAL BAGLEY 112GR,4.150,OTROS
39,GALLETITA CON MANTECA SABOR COCO RENATA 133GR,2.950,MANTECA
40,GALLETITA CON MANTECA SABOR CHOCOLATE RENATA 133GR,2.950,MANTECA
41,GALLETITA CON CHIPS DE CHOCOLATE SIN AZUCARES MAZZEI 110GR,9.500,CHIPS
42,GALLETITA AGUA Y SAL RENATA 200GR,4.550,OTROS
43,GALLETITA A LA MANTECA SABOR LIMON DULCITAS CAPRI 360gr,4.500,LIMON
44,GALLETITA NIKITO FRUTILLA 135 GR,3.950,OTROS
45,GALLETITA NIKITO FRUTILLA 62 GR,2.050,OTROS
46,GALLETITA CLASICA 130 GR FRAC PAQUETE,6.850,OTROS
47,GALLETITA VAINILLA 130 GR FRAC PAQUETE,6.850,OTROS
48,GALLETITA CHOCOLATE 130 GR FRAC PAQUETE,6.850,OTROS
49,GALLETITA SANDWICH 101 GR TRAVIATA PAQUETE,3.700,OTROS
50,GALLETITA SABOR CHOCOLATE BONO 36GR,1.500,CHOCOLATE
51,GALLETITA SABOR TORTA DE LIMON BONO 140GR,4.700,TORTA
52,GALLETITA DE ARROZ NATURAL LESTELLO 110GR,11.500,ARROZ
53,GALLETITA SABOR CHOCOLATE CON COBERTURA BONO 109GR,7.750,CHOCOLATE
54,GALLETITAS SALADAS CREAM PIRAQUE 200GR,6.000,OTROS
55,GALLETITAS SALADAS AGUA Y SAL PIRAQUE 200GR,6.000,OTROS
56,GALLETITAS RELLENAS SABOR CHOCOLATE PIRAQUE 160GR,4.700,CHOCOLATE
57,GALLETITA DE SESAMO GRANIX 185GR,7.000,SESAMO
58,GALLETITA SALVADO GRANIX 135GR,4.500,OTROS
59,PACK GALLETITAS SALADAS SURTIDAS PIRAQUE 5UNID,11.150,OTROS
60,GALLETITA SABOR CHOCOLATE PIRAQUE 400GR,14.200,CHOCOLATE
61,GALLETITA NIKITO CHOCOLATE CON FRUTILLA 135G,3.950,FRUTILLA
62,GALLETITA NIKITO DULCE DE LECHE 135 GR,3.950,LECHE
63,GALLETITA TIPPY MANTECADO,2.250,OTROS
64,GALLETITAS SALADAS KRIT KRITITAS CUETARA 350GR,15.900,OTROS
65,GALLETITA SALVADO CRACKERS 214GR MAZZEI PAQUETE,5.500,OTROS
66,GALLETITA CHOCOLATE 135GR NIKITO X 40,3.950,OTROS
67,GALLETITA BICOLOR CAPUCHINO 130 GR FRAC PAQUETE,6.850,OTROS
68,GALLETITA SABOR CHOCOLATE CON VAINILLA NEGRESCO 120GR,7.750,CHOCOLATE
69,GALLETITA SABOR COCO GRANOVITA GRANIX 140GR,7.850,COCO
70,WAFER SABOR CHOCOLATE PIRAQUE 40GR,1.800,CHOCOLATE
71,GALLETITA DE MAIZ LESTELLO 130GR,18.500,MAIZ
72,GALLETITA SABOR ALGARROBA GRANOVITA GRANIX 140GR,7.850,ALGARROBA
73,GALLETITAS RELLENAS SABOR MORANGO PIRAQUE 160GR,4.700,MORANGO
74,GALLETITAS RELLENAS SABOR BRIGADEIRO PIRAQUE 160GR,4.700,BRIGADEIRO
75,GALLETITAS RELLENAS LECHE MALTEADA PIRAQUE 160GR,4.550,OTROS
76,GALLETITA SABOR LIMON GRANOVITA GRANIX 140GR,7.850,LIMON
77,GALLETITA DE CHOCOLATE SABOR VAINILLA PIRAQUE 160GR,4.700,CHOCOLATE
78,GALLETITA DE ARROZ CON COBERTURA DE CHOCOLATE LESTELLO 75GR,20.000,ARROZ
79,GALLETITA SABOR VAINILLA GRANOVITA GRANIX 140GR,7.850,VAINILLA
80,GALLETITA CEREAL CRACKERS GRANIX 185GR,6.000,OTROS
81,GALLETITA DE ARROZ ORGANICA LESTELLO 110GR,18.500,ARROZ
82,GALLETITA DE GARBANZO LESTELLO 130GR,22.000,GARBANZO
83,GALLETITAS DE LINO GRANIX 185GR,3.500,LINO
84,GALLETITAS SABOR LECHE PIRAQUE 400GR,14.200,LECHE
85,GALLETITAS SALADAS CREAM INTEGRAL PIRAQUE 240GR,7.250,OTROS
86,GALLETITAS SALADAS SABOR QUESO PIRAQUE 100GR,5.650,QUESO
87,GALLETITA DE LENTEJA LESTELLO 130GR,22.000,LENTEJA
88,MINI COOKIES CON CHOCOLATE CHIPS CUETARA,18.900,CHOCOLATE
89,GALLETITA DE AGUA TRADICIONAL 100 GR MAZZEI PAQUETE,3.400,AGUA
90,GALLETITA MANA LECHE 36X145GR,4.000,OTROS
91,GALLETITA CRIOLLITA MAS 36X169GR,7.000,OTROS
92,GALLETITA MANA VAINILLA 36X145,4.000,OTROS
93,GALLETITA TIPPY TUTTI 80 GR,2.250,OTROS
94,GALLETITA TIPPY GRANDE 360 GR,7.300,OTROS
95,GALLETITA BAGLEY SURTIDO 400 GR,11.000,OTROS
96,GALLETITA SURTIDO LIA 400 GR,9.500,OTROS
97,GALLETITA TIPPY MINI 180 GR,4.400,OTROS
98,GALLETITA POLVORITA CHOCOL 80G,2.700,OTROS
99,GALLETITA TIPO MARIA VAINILLA 145GR MERIENDA PAQUETE,3.500,OTROS
100,GALLETITAS CACAO RELLENAS CON CREMA DE LECHE MINI SORRISI 100 GR SCHAR PLA,22.500,CREMA
101,GALLETITA CLASICA 200 GR CERALITAS PAQUETE,6.000,OTROS
102,GALLETITA COOKIES ORIGINAL BAUDUCCO 40GR,1.300,OTROS
103,GALLETITA SALVADO 202 GR CEREALITAS PAQUETE,6.000,OTROS
104,GALLETITAS DULCES SURTIDAS TERRABUSI VARIED 410G,10.000,OTROS
105,GALLETITA RELLENA SABOR DULCE DE LECHE BONO 126GR,4.850,DULCE
106,GALLETITAS DULCE SURTIDAS TERRABUSI VARIED 610G,14.000,OTROS
107,GALLETITA ANILLOS DE COCO BIANCA 280GR,4.500,COCO
108,GALLETITA ANILLOS DE CHOCOLATE BIANCA 280GR,4.500,CHOCOLATE
109,GALLETITA SALVADO DULCE FRUTIGRAN GRANIX 250GR,13.100,OTROS
110,GALLETITA SABOR AVENA Y PASAS FRUTIGRAN GRANIX 250GR,13.100,AVENA
111,WAFER SABOR MORANGO PIRAQUE 40GR,1.800,MORANGO
112,GALLETITA 150GR MINI OREO BSA,8.500,OTROS
113,GALLETITA SALVADO CEREALITAS 606GR TRIPACK,16.500,OTROS
114,GALLETITA OBSESION 85GR COSTA PLA,9.150,OTROS
115,WAFER SABOR CHOCOLATE CHOCOWAFER PIRAQUE 126GR,11.600,CHOCOLATE
116,GALLETITA DE GARBANZOS CON CHOCOLATE Y FRAMBUESA LESTELLO 36GR,22.000,GARBANZOS
117,ALFAJOR DE ARROZ CON DULCE DE LECHE LULEMUU 26gr,4.000,ARROZ
118,SCHAR PAN RUSTICO SIN GLUTEN 200 GR,24.000,OTROS
119,ALFAJOR D/ARROZ C/DULCE DE LECHE 3UN LULEMUU 51GR PLAST,12.000,LECHE
120,ALFAJOR DE ARROZ CON DULCE DE LECHE LULEMUU 3UNID,10.200,ARROZ
121,MAZZEI CEREAL HOJUELAS LIBRE DE GLUTEN 300 GR,15.000,GLUTEN
122,GALLETA DE ARROZ INTEGRAL LAS ACACIAS 130 GR,12.600,ARROZ
123,FIDEO DE ARROZ KOMEYA 250GR,25.800,ARROZ
124,LA MOLISANA FIDEO RIGATONI N?31 DE 500 GR,13.000,500
125,CEREAL DE MAZ CORN FLAKES DE 250 GR SCHAR CAJA,30.000,MAZ
126,LA MOLISANA FIDEO SPAGHETTI N?15 DE 500 GR,13.000,500
127,GALLETITAS MARIA 125GR SCHAR CAJA,22.500,OTROS
128,PREMEZCLA FARINA SIN GLUTEN SCHAR 1KG BSA,45.500,OTROS
129,SCHAR PAN MULTIGRANO 250 GR,29.500,OTROS
130,GALLETAS DE ARROZ INTEGRAL 110GR ARROZEN CUADRADAS CON SAL BSA,12.450,ARROZ
131,MAZZEI CEREAL AROS FRUTALES LIBRE DE GLUTEN 230 GR,14.500,GLUTEN
132,TIA HELENA JALEA DE DURAZNO 270 GR,12.700,DURAZNO
133,ANDRESA ROSQUITAS DE AVENA 250 GR,19.400,AVENA
134,ANDRESA CHIPA PIRU 250 GR,18.000,OTROS
135,PREMEZCLA PARA PIZZA LIBRE DE GLUTEN DOÑA PACHA 500GR,19.700,GLUTEN
136,OLVEBRA DOCE DE SOYA X 330 GR X 24,30.950,SOYA
137,PREMEZCLA PARA BIZCOCHUELO NATUZEN SIN TACC CAJA 450 GR,31.900,OTROS
138,GALLETAS DE ARROZ INTEGRAL 110GR ARROZEN CUADRADAS DULCES BSA,12.450,ARROZ
